name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
nokian tyres plc,tires and rubber,hlse,nokia,finland,3428,moisio jukka,,,euroclear finland ltd,oriental carbon & chemicals limited,qingdao sentury tire co. ltd.,,,,,,,,oponeo.pl s.a.,,,,,,,,,,,board member,hienonen jukka ,vauramo pekka ,lindholm veronica ,markku kalevi polonen jouko ,rietbergen george ,ostrander christopher e.,hahn susanne ,rytsola reima 
chr hansen holding a/s,specialty chemicals,cpse,horsholm,denmark,3834,graber mauricio,mortensen lise,,novo holdings a/s,,,,,,,,,,bacthera ag,bacthera ag,bioxyne limited,teijin limited,,,,,,,,board member,reiniche dominique jacqueline nicole,brandgaard jesper ,kaae lise ,rocamora luis cantarell,hemmingsen charlotte ,kleinbach-sauter heidi ,soerensen kim ib,lane kevin 
leg immobilien se,real estate operating companies,xtra,düsseldorf,germany,1895,von lackum lars,köhling kathrin,,,,,,,,,,,,,,,,,,,,,,,board member,zimmer michael ,nolting claus ,suder katrin ,scharpe jochen ,wiesmann martin ,eichelberg sylvia ,,
alten sa,it consulting and other services,enxtpa,boulogne-billancourt,france,57400,azoulay simon,,,schroder european real estate investment trust plc,,,,,,,,,,sgti sas,,,,,,,,,,,board member,azoulay simon ,mardyks aliette ,labeille maryvonne ,tribaudeau philippe ,eisenberg marc ,azoulay emily ,seroussi jane ,pradon sebastien 
ipsen sa,pharmaceuticals,enxtpa,boulogne-billancourt,france,5072,loew david,le chatelier aymeric,,active biotech ab (publ),bakx therapeutics inc.,blueprint medicines corporation,braintree laboratories inc.,chiasma inc.,debiopharm international s.a.,dr. willmar schwabe gmbh & co. kg,dr. willmar schwabe gmbh & co. kg,ethypharm sas,exelixis inc.,a. menarini industrie farmaceutiche riunite s.r.l.,biogaran s.a.s,braintree laboratories inc.,galderma s.a.,les laboratoires servier sas,otonomy inc.,pharmaengine inc.,pharmaengine inc.,rhythm pharmaceuticals inc.,sandoz international gmbh,,board member,de garidel marc m. p.,loew david ,flochel antoine ,xueref carol ,liu margaret a.,witts karen ,beaufour henri ,beaufour anne 
united utilities group plc,water utilities,lse,warrington,united kingdom,6179,beardmore louise,aspin philip,,achilles information ltd.,aliaxis sa,costain group plc,equiniti limited,european investment bank,export development canada,kirloskar brothers limited,ricardo plc,sapphire utility solutions limited,,copperleaf technologies inc.,united utilities plc,united utilities water limited,water plus group limited,,,,,,,,board member,higgins david h.,beardmore louise ,aspin philip anthony,rowe paulette ,webb doug r.,shailer kathleen mary,goligher alison j. p.,butterworth liam david
anheuser busch inbev sa,brewers,enxtbr,leuven,belgium,167000,doukeris michel dimitrios,tennenbaum fernando,70.0,agi greenpac limited,ambev s.a.,ambev s.a.,ardagh metal packaging s.a.,ascential plc,ball corporation,budweiser brewing company apac limited,canada dry ginger ale incorporated,capital appreciation limited,ci&t inc,ab inbev efes jsc,ambev s.a.,anadolu efes biracilik ve malt sanayii anonim sirketi,anadolu efes biracilik ve malt sanayii anonim sirketi,budweiser brewing company apac limited,budweiser brewing company apac limited,cervecería y maltería quilmes s.a.i.c.a. y g,constellation brands inc.,cub pty ltd,delta corporation limited,,garcia claudio moniz barretto,burns martha michele,van damme alexandre ,chalmers sabine ,de spoelberch gregoire ,de ways-ruart arthur paul cornet,lemann paulo alberto,dávila alejandro santo domingo,motta nitin nohria
galenica ag,health care distributors,swx,bern,switzerland,7673,werner marc,burkhard felix,,coop vitality ag,wihlborgs fastigheter ab (publ),,,,,,,,,coop vitality ag,,,,,,,,,,neuhaus markus r.,jungo bertrand ,jornod etienne ,walde andreas ,meier judith ,bruderer pascale ,zulauf jorg ,peters solange ,,
fuchs petrolub se,commodity chemicals,xtra,mannheim,germany,6167,fuchs stefan,adelt isabelle,,,,,,,,,,,,fuchs verwaltungsgesellschaft mbh,qatar navigation q.p.s.c.,rudolf fuchs gmbh & co,rudolf fuchs kapitalanlagegesellschaft mbh,,,,,,,loos christoph ,fuchs susanne ,fuchs manfred ,neumann ingeborg ,lehfeldt jens ,stahlschmidt cornelia ,steilemann markus ,,,
proximus nv,integrated telecommunication services,enxtbr,brussels,belgium,11662,boutin guillaume,reid mark,65.0,amazon digital services llc,amdocs limited,ateme sa,couchbase inc.,dsp group inc.,edgeware ab (publ),etelix.com usa llc,european investment bank,flowsparks nv,retail estates n.v.,cohezio,digi communications n.v.,netflix inc.,,,,,,,,,boutin guillaume ,vandenborre catherine ,touraine agnes ,de prycker martin ,de gucht karel ,den hove luc van,rutten catherine ,sonne joachim ,ouassari ibrahim 
alcon ag,health care supplies,swx,geneva,switzerland,25000,endicott david,stonesifer timothy,65.0,iridex corporation,novartis ag,,,,,,,,,,,,,,,,,,,ball f. michael,endicott david j.,cummings arthur b.,grossman d. keith,maw scott harlan,may karen j.,bleil lynn dorsey,glanzmann thomas h.,poschel ines ,spälti dieter 
la francaise des jeux sa,casinos and gaming,enxtpa,boulogne-billancourt,france,3121,pallez stephane,chaffard pascal,,barclays bank plc paris branch,bred banque populaire s.a.,caisse d'epargne hauts de france,caisse régionale de crédit agricole mutuel de paris et d'ile-de-france,chez wam,crédit agricole corporate and investment bank société anonyme,crédit lyonnais s.a.,euromillions.co ltd,monext sas,neurones s.a.,french treasury office,,,,,,,,,,,girre xavier ,lazare philippe ,roussel olivier ,dulac fabienne ,lejbowicz corinne ,doukhan ghislaine ,trutt didier ,lyon-caen agnes ,pirani philippe 
eurazeo se,multi-sector holdings,enxtpa,paris,france,19254,,branthomme laurence,,,,,,,,,,,,,,,,,,,,,,decaux jean-charles ,baviere christophe m.,kadouch-chassaing william ,du vignaux olivier merveilleux,roger bruno ,akriche vivianne ,flak sophie ,millet olivier ,aubut christophe ,pallez stephane 
kojamo oyj,real estate operating companies,hlse,helsinki,finland,344,nieminen jani,hjelt erik,,danske bank a/s finland branch,hausia oy,jatke lansi-suomi oy,op yrityspankki oyj,srv yhtiöt oyj,,,,,,,,,,,,,,,,aro esko mikael,mursula mikko ,koutonen anne ,von stackelberg-hammarén catharina ,kauniskangas kari ,anas annica ,segal andreas ,,,
rheinmetall ag,aerospace and defense,xtra,düsseldorf,germany,22640,papperger armin,steinert dagmar,,european investment bank,global net lease operating partnership l.p.,kfw,pl elektronik gmbh,rada electronic industries ltd.,,,,,,daimler truck fuel cell gmbh & co. kg,embraer s.a.,german armed forces,,,,,,,,grillo ulrich ,hay daniel ,hannemann susanne ,georgi andreas ,mielke michael m.,schmidt sven ,muth dagmar ,vennemann klaus-gunter ,draeger klaus ,muller reinhard 
imcd nv,trading companies and distributors,enxtam,rotterdam,netherlands,4549,van der slikke pieter c.,kooijmans hans j.,,hofseth biocare asa,,,,,,,,,,imcd group b.v.,,,,,,,,,,smalbraak janus ,nanninga stephan ronald,eelman willem ,hebert amy e.,,,,,,
spirax-sarco engineering plc,industrial machinery and supplies and components,lse,cheltenham,united kingdom,10000,anderson nicholas,patel nimesh,,equiniti limited,,,,,,,,,,mcgill university,spirax-sarco overseas limited,us navy,,,,,,,,pike james robert provan ,anderson nicholas j.,patel nimesh balvir,kingston jane s.,thompson kevin j.,gillingwater richard dunnell,france peter ian,johnstone caroline a.,archon angela n.,baroudel constance f.
genus plc,biotechnology,lse,basingstoke,united kingdom,3500,kokke jorgen,henriksen alison,,caribou biosciences inc.,equiniti limited,,,,,,,,,,,,,,,,,,,ferguson iain g. t.,kokke jorgen ,henriksen alison jane,wilson stephen david,gray lysanne mary,knox lesley mary samuel,van der broek lykele jurrit,chin jason william karl,,
mtu aero engines ag,aerospace and defense,xtra,munich,germany,11823,wagner lars,kameritsch peter,,aero win technology corporation,caverion oyj,daldrup & söhne aktiengesellschaft,eisenwerk erla gmbh,gkn limited,oerlikon balzers coating usa inc.,,,,,airbus s.a.s.,detroit chile s.a.,embraer s.a.,garden reach shipbuilders & engineers limited,general electric company,german air force,german armed forces,jetblue airways corporation,mitsubishi aircraft corporation,the boeing company,riske gordon ,mailer josef ,rauhut joachim ,martens rainer ,weissenberger-eibl marion a.,bortenlanger christine maria,heimerl anita ,frijia daniele ,wolf ute ,sowa-frank claudia 
cofinimmo sa,health care reits,enxtbr,brussels,belgium,160,hanin jean-pierre,kotarakos jean,60.0,catella valuation advisors,cbre finland oy,colliers real estate services italia s.r.l.,cushman & wakefield belgium,cushman & wakefield commercial (northern ireland) limited,cushman & wakefield netherlands b.v.,cushman & wakefield re consultants spain s.l.,cushman & wakefield valuation france sa,cushman & wakefield inc.,jones lang lasalle espana s.a.,t hofke nv,alloheim senioren-residenzen se,amavir valle de egüés,anheuser-busch inbev sa/nv,armonea nv,aspria holdings b.v.,attendo ab (publ),azurit rohr gmbh natürlich leben im alter,belgium,bergman clinics b.v.,,hanin jean-pierre ,kotarakos jean ,roels francoise ,graulich benoit ,de walque xavier ,archer-toper ines ,monissen diana ,chapelle olivier ,gauchot maurice 
e.on se,multi-utilities,xtra,essen,germany,71389,birnbaum leonhard,spieker marc,60.0,2b intelligent soft s.a.,castellum ab (publ),castellum ab (publ),confluent inc.,corinth pipeworks s.a.,echelon corporation,eman a.s.,hcl technologies limited,hellenic cables holdings s.a.,international business machines corporation,origin energy limited,urenco limited,,,,,,,,,,clementi erich ,schmitz christoph ,schmitz andreas j. j.,frohlich klaus ,schulz fred ,may stefan ,de segundo karen m. a.,luha eugen-gheorghe ,wallbaum elisabeth 
howden joinery group plc,trading companies and distributors,lse,london,united kingdom,12000,livingston andrew,hayes paul,,equiniti limited,jeld-wen holding inc.,londonmetric property plc,tritax big box reit plc,,,,,,,,,,,,,,,,,ventress peter j.,livingston andrew ,hayes paul ,cripps andrew graham,caddick karen ,white debra jayne,fowler louise ,eperjesi louis leslie alexander,,
telenor asa,integrated telecommunication services,ob,fornebu,norway,14000,brekke sigve,bachke tone,70.0,24i unit media b.v.,atea asa,azerion group n.v.,bigblu norge as,celcomdigi berhad,digi telecommunications sdn bhd,digi telecommunications sdn bhd,eltel ab (publ),eltel networks as,eutelsat communications s.a.,ainmt asa,allente group ab,celcomdigi berhad,celcomdigi berhad,celcomdigi berhad,digi telecommunications sdn bhd,digi telecommunications sdn bhd,grameenphone ltd.,norsk rikskringkasting as,total access communication public company limited,,ingerø gyrid skalleberg,bastiansen nils halvard,roren marianne bergmann,vold irene ,smistad esben ,knook pieter cornelis,simonsen joos astrid ,bjornstad nina ,geldmacher jan 
croda international plc,specialty chemicals,lse,goole,united kingdom,5825,foots stephen,burdett louisa,,link market services limited,londonmetric property plc,,,,,,,,,pfizer inc.,,,,,,,,,,frew anita margaret,foots stephen edward,burdett louisa sachiko,ferguson jacqueline patricia christine,ramsay john ,layden keith ,cirillo roberto ,kim julie ,ouzren nawal ,good christopher 
imperial brands plc,tobacco,lse,bristol,united kingdom,25700,bomhard stefan,paravicini lukas,60.0,compañía de distribución integral logista holdings s.a.,crédit agricole corporate and investment bank société anonyme,elval hellenic aluminium industry s.a.,equiniti group limited,equiniti limited,mativ holdings inc.,universal corporation,,,,auxly cannabis group inc.,compañía de distribución integral logista holdings s.a.,,,,,,,,,esperdy therese ,bomhard stefan ,paravicini lukas jean-baptiste,clark susan ,stanton jonathan ,kunze-concewitz robert ,johnson alan ,de saint victor diane ,edozien frances ngozichukwuka oluwatoyn,gilchrist andrew d.
united internet ag,integrated telecommunication services,xtra,montabaur,germany,10687,dommermuth ralph,hartings ralf,,1&1 ag,vodafone group public limited company,,,,,,,,,1&1 ag,ionos group se,ionos group se,profitbricks gmbh,,,,,,,von bismarck philipp ,castillo-olivares manuel cubero del,soffing andreas ,weiß yasmin mei-yee,rasch stefan ,ruhwedel franca ,,,,
ackermans & van haaren nv,construction and engineering,enxtbr,antwerp,belgium,21453,,bamelis tom,,deep c green energy,oryx properties limited,,,,,,,,,deme group nv,hornbach baumarkt ag,,,,,,,,,bertrand luc ,pestiaux julien ,vandeputte victoria ,willaert pierre ,van haaren frederic ,delen jacques ,van baren thierry ,debruyne marion ,deckers bart ,chandmal sonali 
bollore se,movies and entertainment,enxtpa,puteaux,france,74972,bollore cyrille,,,gaussin sa,grit real estate income group limited,neste oyj,neurones s.a.,,,,,,,financière du perguet s.a.,,,,,,,,,,bollore cyrille m.c.,de bailliencourt cédric ,bollore yannick ,thomazeau francois ,bollore marie ,bollore sebastien ,merle-beral celine ,picciotto alexandre françois julien,bollore chantal ,alteirac nicolas 
groep brussel lambert nv,multi-sector holdings,enxtbr,brussels,belgium,57,gallienne ian,likin xavier,80.0,,,,,,,,,,,power corporation of canada,,,,,,,,,,desmarais paul guy,gallienne ian ,touraine agnes ,veyrat jacques ,desmarais paul guy,frère baron cédric,gallienne-frere segolene ,genereux claude ,soto alexandra ,meaney mary 
gecina sa,office reits,enxtpa,paris,france,474,ortega benat,dutreuil nicolas,70.0,cabinet besse s.a.,catella ab (publ),cbre group inc.,cbre valuation sas,cushman & wakefield inc.,jones lang lasalle incorporated,lacourte raquin tatar,siaci saint honoré sa,valode & pistre,,arkema s.a.,edenred france,edenred se,electricité de france s.a.,engie sa,ensup group,eurosic sa,foncière de paris,geciter sas,geodis sa,brunel jerome ,ortega benat ,reinmann toper ines ,de noyelle dominique dudan – deloche,habra karim ,stern jacques ,gendron claude ,danon-arnaud laurence ,gauthey gabrielle ,le gall carole 
grand city properties sa,real estate operating companies,bats-chixe,luxembourg city,luxembourg,810,zamir refael,hadad idan,65.0,jones lang lasalle gmbh,,,,,,,,,,,,,,,,,,,,windfuhr christian g.,gabay yakir ,runge-brandner simone ,jarczyk claudio ,leininger markus j.,maimon david ,,,,
vodafone group plc,wireless telecommunication services,lse,newbury,united kingdom,104000,della valle margherita,mucic luka,60.0,2b intelligent soft s.a.,accord synergy limited,actual experience plc,adeia inc.,adtran networks se,amdocs limited,american tower corporation,arlo technologies inc.,aukett swanke group plc,avepoint inc.,altech netstar (proprietary) limited,digicore holdings limited,ecotel communication ag,empresa nacional de telecomunicaciones s.a.,eroad limited,freenet ag,iren spa,kvh industries inc.,liberty global plc,mobilcom-debitel ag,,della valle margherita ,mucic luka ,da costa coimbra antonio manuel,nish david thomas,moraleda martinez maria amparo,demare michel ,kerr deborah linda,carter stephen andrew,cunci delphine ernotte
